Continuous Case:
Configuration:
pho = 0.1
diff_thresold = 1e-5
train_error_threshold = 1e-5
iter:72  diff:0.00016165 train_error:944714621.86719811 test_error:60330778.70203757
iter:73  diff:0.00014783 train_error:944518207.35488415 test_error:60316672.94484159
iter:74  diff:0.00013600 train_error:944339936.36734521 test_error:60303561.47812913
iter:75  diff:0.00012594 train_error:944178527.71852481 test_error:60291361.26574040
iter:76  diff:0.00011744 train_error:944032834.41083479 test_error:60279999.19360895
iter:77  diff:0.00011030 train_error:943901830.05389225 test_error:60269411.65471637
iter:78  diff:0.00010434 train_error:943784593.69289732 test_error:60259544.08660147
iter:79  diff:0.00009939 train_error:943680292.66010380 test_error:60250350.41991306
iter:80  diff:0.00009530 train_error:943588163.21792781 test_error:60241792.39578597
iter:81  diff:0.00009188 train_error:943507489.09761155 test_error:60233838.71599096
iter:82  diff:0.00008898 train_error:943437578.46705055 test_error:60226464.00429481
iter:83  diff:0.00008644 train_error:943377740.47737038 test_error:60219647.58312745
iter:84  diff:0.00008408 train_error:943327263.18821025 test_error:60213372.10468050
iter:85  diff:0.00008176 train_error:943285395.31886792 test_error:60207622.11714388
iter:86  diff:0.00007933 train_error:943251334.63639009 test_error:60202382.68708263
iter:87  diff:0.00007667 train_error:943224225.74977791 test_error:60197638.22555645
iter:88  diff:0.00007371 train_error:943203169.37483501 test_error:60193371.66825671
iter:89  diff:0.00007039 train_error:943187243.74183941 test_error:60189564.12645042
iter:90  diff:0.00006671 train_error:943175536.84023070 test_error:60186195.05754267
iter:91  diff:0.00006273 train_error:943167186.02665412 test_error:60183242.90874325
iter:92  diff:0.00005852 train_error:943161419.64752638 test_error:60180686.08991369
iter:93  diff:0.00005419 train_error:943157594.40323222 test_error:60178504.05728441
iter:94  diff:0.00004987 train_error:943155222.45406508 test_error:60176678.26457932
iter:95  diff:0.00004569 train_error:943153983.92975068 test_error:60175192.77118653
iter:96  diff:0.00004176 train_error:943153723.06703460 test_error:60174034.38245787
iter:97  diff:0.00003815 train_error:943154429.07310116 test_error:60173192.30735619
iter:98  diff:0.00003492 train_error:943156205.29887056 test_error:60172657.42507119
iter:99  diff:0.00003209 train_error:943159231.79906273 test_error:60172421.32536969
iter:100  diff:0.00002966 train_error:943163726.72037041 test_error:60172475.31302820
iter:101  diff:0.00002760 train_error:943169911.24925172 test_error:60172809.54809415
iter:102  diff:0.00002587 train_error:943177981.45370376 test_error:60173412.44173133
iter:103  diff:0.00002443 train_error:943188088.70202422 test_error:60174270.36281919
iter:104  diff:0.00002323 train_error:943200328.82283723 test_error:60175367.64976032
iter:105  diff:0.00002224 train_error:943214739.02358317 test_error:60176686.87622651
iter:106  diff:0.00002141 train_error:943231300.88740432 test_error:60178209.29485095
iter:107  diff:0.00002072 train_error:943249947.54071963 test_error:60179915.37588774
iter:108  diff:0.00002013 train_error:943270573.15758562 test_error:60181785.36653224
iter:109  diff:0.00001963 train_error:943293043.27005911 test_error:60183799.81196465
iter:110  diff:0.00001919 train_error:943317204.73969746 test_error:60185939.99912211
iter:111  diff:0.00001881 train_error:943342894.64515042 test_error:60188188.30269884
iter:112  diff:0.00001848 train_error:943369947.67024124 test_error:60190528.42779201
iter:113  diff:0.00001818 train_error:943398201.87938273 test_error:60192945.55489832
iter:114  diff:0.00001791 train_error:943427502.90264487 test_error:60195426.40011452
iter:115  diff:0.00001766 train_error:943457706.74064565 test_error:60197959.20664785
iter:116  diff:0.00001743 train_error:943488681.37793195 test_error:60200533.68444674
iter:117  diff:0.00001722 train_error:943520307.48354912 test_error:60203140.91387521
iter:118  diff:0.00001702 train_error:943552478.41037643 test_error:60205773.22733265
iter:119  diff:0.00001684 train_error:943585099.70980692 test_error:60208424.07977773
iter:120  diff:0.00001666 train_error:943618088.32989073 test_error:60211087.91706508
iter:121  diff:0.00001649 train_error:943651371.63262749 test_error:60213760.04815333
iter:122  diff:0.00001633 train_error:943684886.33190286 test_error:60216436.52530752
iter:123  diff:0.00001618 train_error:943718577.42498600 test_error:60219114.03484807
iter:124  diff:0.00001603 train_error:943752397.16752970 test_error:60221789.79981425
iter:125  diff:0.00001589 train_error:943786304.12167299 test_error:60224461.49439485
iter:126  diff:0.00001575 train_error:943820262.29629159 test_error:60227127.17005262
iter:127  diff:0.00001561 train_error:943854240.37824273 test_error:60229785.19270927
iter:128  diff:0.00001548 train_error:943888211.06749845 test_error:60232434.18935202
iter:129  diff:0.00001535 train_error:943922150.49681973 test_error:60235073.00371642
iter:130  diff:0.00001523 train_error:943956037.73561156 test_error:60237700.65916412
iter:131  diff:0.00001511 train_error:943989854.37358081 test_error:60240316.32833011
iter:132  diff:0.00001499 train_error:944023584.16266799 test_error:60242919.30800003
iter:133  diff:0.00001488 train_error:944057212.71893001 test_error:60245508.99870228
iter:134  diff:0.00001476 train_error:944090727.27468634 test_error:60248084.88794282
iter:135  diff:0.00001465 train_error:944124116.46482980 test_error:60250646.53669591
iter:136  diff:0.00001455 train_error:944157370.15383720 test_error:60253193.56832382
iter:137  diff:0.00001444 train_error:944190479.28763855 test_error:60255725.65956992
iter:138  diff:0.00001434 train_error:944223435.76692903 test_error:60258242.53321938
iter:139  diff:0.00001424 train_error:944256232.34534740 test_error:60260743.95212740
iter:140  diff:0.00001414 train_error:944288862.53828633 test_error:60263229.71423252
iter:141  diff:0.00001405 train_error:944321320.54706550 test_error:60265699.64843749
iter:142  diff:0.00001395 train_error:944353601.19253147 test_error:60268153.61126257
iter:143  diff:0.00001386 train_error:944385699.85795236 test_error:60270591.48393556
iter:144  diff:0.00001377 train_error:944417612.44046903 test_error:60273013.16994179
iter:145  diff:0.00001368 train_error:944449335.30720198 test_error:60275418.59293370
iter:146  diff:0.00001360 train_error:944480865.25384355 test_error:60277807.69487671
iter:147  diff:0.00001351 train_error:944512199.47207558 test_error:60280180.43454123
iter:148  diff:0.00001343 train_error:944543335.51879895 test_error:60282536.78595985
iter:149  diff:0.00001334 train_error:944574271.28659546 test_error:60284876.73726967
iter:150  diff:0.00001326 train_error:944605004.97775447 test_error:60287200.28948658
iter:151  diff:0.00001318 train_error:944635535.08206630 test_error:60289507.45553997
iter:152  diff:0.00001310 train_error:944665860.35280335 test_error:60291798.25926330
iter:153  diff:0.00001303 train_error:944695979.78883564 test_error:60294072.73454314
iter:154  diff:0.00001295 train_error:944725892.61654568 test_error:60296330.92451920
iter:155  diff:0.00001287 train_error:944755598.27069700 test_error:60298572.88080869
iter:156  diff:0.00001280 train_error:944785096.38048351 test_error:60300798.66282485
iter:157  diff:0.00001273 train_error:944814386.75225854 test_error:60303008.33716974
iter:158  diff:0.00001265 train_error:944843469.35769188 test_error:60305201.97690634
iter:159  diff:0.00001258 train_error:944872344.32361805 test_error:60307379.66113888
iter:160  diff:0.00001251 train_error:944901011.91310704 test_error:60309541.47439314
iter:161  diff:0.00001244 train_error:944929472.52039111 test_error:60311687.50615927
iter:162  diff:0.00001238 train_error:944957726.65759230 test_error:60313817.85041404
iter:163  diff:0.00001231 train_error:944985774.94677627 test_error:60315932.60517570
iter:164  diff:0.00001224 train_error:945013618.10962963 test_error:60318031.87215243
iter:165  diff:0.00001217 train_error:945041256.95795369 test_error:60320115.75633021
iter:166  diff:0.00001211 train_error:945068692.38940454 test_error:60322184.36559968
iter:167  diff:0.00001204 train_error:945095925.37656021 test_error:60324237.81046588
iter:168  diff:0.00001198 train_error:945122956.96126199 test_error:60326276.20375782
iter:169  diff:0.00001192 train_error:945149788.24932837 test_error:60328299.66030833
iter:170  diff:0.00001186 train_error:945176420.40354109 test_error:60330308.29668579
iter:171  diff:0.00001179 train_error:945202854.63734555 test_error:60332302.23099895
iter:172  diff:0.00001173 train_error:945229092.21116436 test_error:60334281.58261762
iter:173  diff:0.00001167 train_error:945255134.42781591 test_error:60336246.47199068
iter:174  diff:0.00001161 train_error:945280982.62576544 test_error:60338197.02044933
iter:175  diff:0.00001155 train_error:945306638.17900896 test_error:60340133.35000601
iter:176  diff:0.00001149 train_error:945332102.48852921 test_error:60342055.58323181
iter:177  diff:0.00001143 train_error:945357376.98130274 test_error:60343963.84302297
iter:178  diff:0.00001138 train_error:945382463.10880661 test_error:60345858.25255137
iter:179  diff:0.00001132 train_error:945407362.33899677 test_error:60347738.93507466
iter:180  diff:0.00001126 train_error:945432076.15827525 test_error:60349606.01383710
iter:181  diff:0.00001121 train_error:945456606.06594384 test_error:60351459.61196381
iter:182  diff:0.00001115 train_error:945480953.57416165 test_error:60353299.85234500
iter:183  diff:0.00001110 train_error:945505120.20244575 test_error:60355126.85750608
iter:184  diff:0.00001104 train_error:945529107.47953689 test_error:60356940.74962575
iter:185  diff:0.00001099 train_error:945552916.93746352 test_error:60358741.65037756
iter:186  diff:0.00001093 train_error:945576550.11322021 test_error:60360529.68083303
iter:187  diff:0.00001088 train_error:945600008.54502606 test_error:60362304.96150087
iter:188  diff:0.00001083 train_error:945623293.77187586 test_error:60364067.61220011
iter:189  diff:0.00001077 train_error:945646407.33132029 test_error:60365817.75196688
iter:190  diff:0.00001072 train_error:945669350.75926220 test_error:60367555.49911701
iter:191  diff:0.00001067 train_error:945692125.58766544 test_error:60369280.97112225
iter:192  diff:0.00001062 train_error:945714733.34462571 test_error:60370994.28459751
iter:193  diff:0.00001057 train_error:945737175.55333745 test_error:60372695.55521196
iter:194  diff:0.00001052 train_error:945759453.72864568 test_error:60374384.89779008
iter:195  diff:0.00001047 train_error:945781569.38078511 test_error:60376062.42613094
iter:196  diff:0.00001042 train_error:945803524.01060832 test_error:60377728.25309628
iter:197  diff:0.00001037 train_error:945825319.11142659 test_error:60379382.49052281
iter:198  diff:0.00001032 train_error:945846956.16684544 test_error:60381025.24928680
iter:199  diff:0.00001027 train_error:945868436.65155125 test_error:60382656.63914934
iter:200  diff:0.00001022 train_error:945889762.03009045 test_error:60384276.76886360
iter:201  diff:0.00001018 train_error:945910933.75510061 test_error:60385885.74616421
iter:202  diff:0.00001013 train_error:945931953.27018166 test_error:60387483.67766382
iter:203  diff:0.00001008 train_error:945952822.00720179 test_error:60389070.66892157
iter:204  diff:0.00001004 train_error:945973541.38589859 test_error:60390646.82444755
 Iter  FuncEvals       F(X)          ||G(X)||/N        
------ --------- ---------------- ----------------
     0         1   72654.13042860       0.00501915
     1         8   72322.30406980       1.09153742
     2        19   72321.86594264       1.11720165
     3        28   70862.67469922       2.67087465
     4        38   70345.83807408       3.49935713
     5        48   65575.56326381       5.33299995
     6        57   59374.38567007       7.47441154
     7        66   41532.29260219       8.46539423
     8        74   26640.93988789       3.15549414
     9        82   21122.75337321       2.01360628
    10        89   18143.18695265       1.48983852
    11        96   16344.59485133       1.57204485
    12       103   15134.59692638       1.50324217
    13       111   13590.94803608       1.14720537
    14       117   12862.55830272       0.73541326
    15       124   12356.75868118       0.76429576
    16       131   12021.56569748       0.68040685
    17       138   11783.01685351       0.56371888
    18       144   11581.28453703       0.54642955
    19       151   11304.79833343       0.57847389
    20       158   10963.02402038       0.58904138
    21       164   10791.45803012       0.44851594
    22       170   10637.73793932       0.38972631
    23       176   10535.64986493       0.36014766
    24       182   10446.39682815       0.42894992
    25       189   10316.51892172       0.44017182
    26       196   10178.27265170       0.44835229
    27       203    9988.88941778       0.46263413
    28       210    9839.05185701       0.38322879
    29       216    9722.54223725       0.41505871
    30       222    9638.51111324       0.38827753
    31       228    9550.64566450       0.30773954
    32       234    9461.49907497       0.35432962
    33       240    9369.68702545       0.32671657
    34       246    9297.96830186       0.27839057
    35       252    9240.73189800       0.27344426
    36       258    9190.14336766       0.28130399
    37       264    9150.63582350       0.25576934
    38       270    9106.43028520       0.23808460
    39       276    9067.20485647       0.22442689
    40       281    9033.96407832       0.19764187
    41       286    9018.28106982       0.16084257
    42       291    8997.99286083       0.18422231
    43       297    8976.76950347       0.17551292
    44       303    8959.75447839       0.17874912
    45       309    8938.91860052       0.15923099
    46       314    8921.13156579       0.15667707
    47       320    8902.38140039       0.18603573
    48       326    8884.76586186       0.17792657
    49       332    8866.86510447       0.15408386
    50       338    8849.26031635       0.16475790
    51       344    8830.15109562       0.15985562
    52       350    8815.51250695       0.15537965
    53       356    8802.47817171       0.16339885
    54       362    8783.81170495       0.17444728
    55       368    8764.94421098       0.15074226
    56       374    8748.47016980       0.15154220
    57       380    8733.91124301       0.15972378
    58       386    8721.91167260       0.15339609
    59       392    8704.82043586       0.15266265
    60       398    8688.12850854       0.14402557
    61       403    8679.86077277       0.11722554
    62       408    8668.19541296       0.12107900
    63       413    8659.65583055       0.12106698
    64       418    8651.37601880       0.12129131
    65       423    8643.14895561       0.11347307
    66       428    8634.64933280       0.10504717
    67       434    8626.60816826       0.09978066
    68       440    8619.62265534       0.09734928
    69       445    8612.70952309       0.11342505
    70       451    8606.28139079       0.10809507
    71       457    8599.33923326       0.10187601
    72       462    8591.62149039       0.10762576
    73       468    8582.87947802       0.11170087
    74       474    8574.57884254       0.10112202
    75       480    8566.65948299       0.11450362
    76       486    8558.23112309       0.12821322
    77       492    8550.35274080       0.11654620
    78       498    8542.24641155       0.09369919
    79       504    8535.19733610       0.10304848
    80       510    8521.57778789       0.12335411
    81       514    8515.75085556       0.08528825
    82       519    8510.88786764       0.08943119
    83       524    8506.66422946       0.08562496
    84       529    8501.61609971       0.08123288
    85       534    8497.26639269       0.09654308
    86       539    8492.50274490       0.08620273
    87       544    8488.48309037       0.07642086
    88       549    8484.99205763       0.06899977
    89       554    8481.68635749       0.07116638
    90       559    8477.87987170       0.07273048
    91       564    8474.48340170       0.06604728
    92       569    8471.43984037       0.07282080
    93       574    8468.36922872       0.07643245
    94       579    8465.53294591       0.06614950
    95       584    8462.81988291       0.06988884
    96       590    8458.87395463       0.07964000
    97       596    8454.60009263       0.07716958
    98       602    8450.55167820       0.07666133
    99       607    8446.68817401       0.07834428
   100       613    8443.09444446       0.09331069
   101       618    8440.89662821       0.05714397
   102       622    8439.45138564       0.05933878
   103       626    8437.51497063       0.06973631
   104       631    8435.23413608       0.07239799
   105       636    8432.06370360       0.06890971
   106       641    8429.75064465       0.06451140
   107       646    8428.20492339       0.05816593
   108       651    8426.08181157       0.06109687
   109       656    8423.93024392       0.06729344
   110       661    8421.99538696       0.06405599
   111       666    8419.87973549       0.06430187
   112       671    8417.30222522       0.06470004
   113       677    8415.50290239       0.06560400
   114       683    8413.45052264       0.05918051
   115       689    8411.14836766       0.06077715
   116       695    8409.69123501       0.06110637
   117       701    8407.59198955       0.05994115
   118       707    8405.17337747       0.06574071
   119       713    8403.32265606       0.06977821
   120       719    8400.82531180       0.05922645
   121       723    8399.47120440       0.03872057
   122       727    8398.15317549       0.04970742
   123       732    8395.66513161       0.05181326
   124       737    8393.93524803       0.04937867
   125       742    8392.24083490       0.05134697
   126       747    8390.71485518       0.05340125
   127       752    8389.39654885       0.04878056
   128       757    8388.06565683       0.04399995
   129       762    8386.61358566       0.04603052
   130       767    8384.65438700       0.04839004
   131       772    8382.92419447       0.04211600
   132       777    8381.46895512       0.04371939
   133       782    8380.16786129       0.04482799
   134       787    8378.73617947       0.04749738
   135       793    8377.47268182       0.05385058
   136       799    8375.88879252       0.05126328
   137       805    8374.49459378       0.04972380
   138       811    8371.52027862       0.06669832
   139       817    8367.79316610       0.06513079
   140       823    8363.75966678       0.07131505
   141       827    8361.98390765       0.05079658
   142       831    8360.72249324       0.05181947
   143       836    8359.39667897       0.04461065
   144       840    8358.08885643       0.04194278
   145       844    8356.94370636       0.04054965
   146       848    8355.79655395       0.03654230
   147       852    8355.08883963       0.03683143
   148       856    8354.44436201       0.03623113
   149       861    8353.61829952       0.03595870
   150       865    8352.71167405       0.03529862
   151       870    8351.80407409       0.03390378
   152       875    8351.02517396       0.03490763
   153       880    8350.37080304       0.03542963
   154       885    8349.71572226       0.03734509
   155       889    8348.88239824       0.03425279
   156       894    8348.19487400       0.03067899
   157       899    8347.41541281       0.02846720
   158       903    8346.84768788       0.03077867
   159       908    8346.30648992       0.03570898
   160       913    8345.70051508       0.03190112
   161       917    8345.31722264       0.02829010
   162       921    8344.94823570       0.02707135
   163       924    8344.49213095       0.02573210
   164       928    8343.98483826       0.02794847
   165       932    8343.39878854       0.02895845
   166       937    8342.80667111       0.03025159
   167       941    8342.30334242       0.03403286
   168       946    8341.74684639       0.03248384
   169       951    8341.10781329       0.02815062
   170       956    8340.37600169       0.03098837
   171       961    8339.60570039       0.03381286
   172       966    8339.04124432       0.03465046
   173       971    8338.53212677       0.02938880
   174       975    8337.93983338       0.02862739
   175       980    8337.28683271       0.03114490
   176       985    8336.58403370       0.03292041
   177       990    8335.87052151       0.03557098
   178       995    8335.30365426       0.03888684
   179      1000    8334.14888276       0.04186759
   180      1005    8332.72005133       0.05324901
   181      1009    8331.60947234       0.04066025
   182      1013    8330.77279956       0.04523310
   183      1017    8330.11253186       0.02759867
   184      1021    8329.52926970       0.02788359
   185      1025    8329.01637462       0.02854485
   186      1029    8328.52771814       0.02920778
   187      1033    8328.13274570       0.02898481
   188      1037    8327.71172661       0.02653552
   189      1041    8327.19721726       0.02673901
   190      1045    8326.66810337       0.02914842
   191      1049    8326.12740028       0.02774184
   192      1053    8325.62066512       0.02595649
   193      1057    8325.10068118       0.02670847
   194      1062    8324.79793733       0.02527742
   195      1067    8324.45931577       0.02578521
   196      1072    8324.05913841       0.02563580
   197      1076    8323.65423061       0.02299622
   198      1081    8323.29430578       0.02265795
   199      1085    8322.83610171       0.02513948
   200      1090    8322.33303493       0.03274013
   201      1094    8321.97805364       0.01961212
   202      1097    8321.78901707       0.02267168
   203      1100    8321.54021912       0.02217596
   204      1104    8321.19445130       0.02407424
   205      1108    8320.77711227       0.02468840
   206      1112    8320.47914058       0.02400785
   207      1116    8320.19669984       0.02384331
   208      1120    8319.84137081       0.02810987
   209      1125    8319.34303432       0.02767272
   210      1130    8318.86345456       0.02718935
   211      1135    8318.42033493       0.02456951
   212      1139    8318.03576610       0.02639151
   213      1144    8317.58749687       0.02754528
   214      1148    8317.15530386       0.02846503
   215      1153    8316.78842459       0.02767232
   216      1157    8316.37489184       0.02674527
   217      1162    8315.88444361       0.03067101
   218      1167    8315.22902376       0.03415134
   219      1172    8314.36752441       0.04084102
   220      1178    8312.83317454       0.05119252
   221      1182    8312.12570656       0.03063232
   222      1186    8311.74945811       0.03546104
   223      1190    8311.14431341       0.03178216
   224      1194    8310.59566039       0.03620400
   225      1198    8310.13960938       0.02848824
   226      1202    8309.71688652       0.02574623
   227      1206    8309.24695003       0.03192312
   228      1210    8308.90173854       0.02915683
   229      1215    8308.37634718       0.02583269
   230      1219    8308.01315270       0.02645148
   231      1223    8307.76779061       0.02556503
   232      1228    8307.33222347       0.02797183
   233      1233    8306.67113953       0.03690491
   234      1238    8306.26285129       0.02744607
   235      1243    8305.92607509       0.02425057
   236      1248    8305.47007373       0.03034546
   237      1253    8305.09006009       0.03076272
   238      1258    8304.70386637       0.02553745
   239      1262    8304.33340913       0.02262714
   240      1267    8304.04957134       0.03168159
   241      1271    8303.85968001       0.01741850
   242      1275    8303.75364475       0.02696394
   243      1279    8303.54020149       0.02349690
